,Country,City,Latitude,Longitude,Temp,Humidity,Cloudiness,Windspeed,Fahrenheit,wind_mph,equator_distance
35530,ru,burevestnik,56.144029,43.788323999999996,266.06,97,80,1.95,19.508000000000003,4.362033,56.144029
9404,de,oberndorf,48.283333,8.566667,278.28,71,44,5.8,41.50399999999995,12.974252,48.283333
10307,ec,calceta,-0.85,-80.16666670000001,296.9,79,0,5.95,75.01999999999995,13.309793,0.85
30844,pk,kohat,33.581958,71.449291,276.57,60,0,1.0,38.42599999999999,2.23694,33.581958
23771,mx,el pueblito,20.533333,-100.45,295.4,52,36,4.35,72.31999999999996,9.730689,20.533333
35413,ru,blagoveshchensk,50.266667,127.53333300000001,245.91,35,48,3.6,-16.762000000000008,8.052984,50.266667
5832,cn,bamiantong,44.933333000000005,130.533333,244.901,35,0,2.0,-18.57819999999998,4.47388,44.933333000000005
10581,ee,voka,59.39972220000001,27.581666700000003,273.201,100,92,8.25,32.36180000000004,18.454755000000002,59.39972220000001
42537,us,san marino,34.1213889,-118.10555559999999,278.69,89,0,3.9,42.242,8.724066,34.1213889
1115,ba,ilici,43.3472222,17.7680556,260.93,76,0,0.95,10.274000000000012,2.125093,43.3472222
11640,fr,goussainville,49.013672,2.465948,278.91,97,68,4.65,42.63800000000005,10.401771000000002,49.013672
5206,cf,baoro,5.6666667,15.9666667,296.051,38,68,3.15,73.49179999999998,7.046361,5.6666667
43316,us,mattoon,39.48305560000001,-88.3727778,269.0,72,8,5.75,24.8,12.862405,39.48305560000001
17769,in,goregaon,18.166667,73.3,292.18,100,32,2.4,66.52400000000002,5.3686560000000005,18.166667
31126,pl,jelenia gora,50.89828,15.729929,273.851,86,0,6.45,33.5318,14.428263000000001,50.89828
15088,hn,punuare,14.733333300000002,-85.9666667,292.951,99,92,1.05,67.91180000000004,2.348787,14.733333300000002
25739,nl,woudenberg,52.08016,5.420615,279.35,93,64,7.25,43.43000000000004,16.217815,52.08016
5593,ci,guiberoua,6.2386870000000005,-6.171465,295.25,95,8,1.3,72.05000000000001,2.9080220000000003,6.2386870000000005
17455,in,chittaurgarh,24.883333,74.633333,285.53,89,12,3.05,54.55399999999995,6.822667,24.883333
34152,ro,sanzieni,46.05,26.133333,268.751,74,0,1.5,24.351799999999958,3.35541,46.05
16581,ie,ashbourne,53.5108333,-6.4272222,276.601,79,0,10.8,38.4818,24.158952000000003,53.5108333
41828,ua,velyka bilozerka,47.277556,34.706158,277.93,100,92,5.55,40.87400000000001,12.415017,47.277556
8437,de,aerzen,52.033333,9.266667,279.35,96,92,9.1,43.43000000000004,20.356154,52.033333
24423,mx,san fernando,16.866667,-93.216667,299.03,100,76,1.35,78.85399999999996,3.0198690000000004,16.866667
28103,ph,dos hermanas,10.7421,123.0377,272.926,85,0,1.4,31.866799999999976,3.131716,10.7421
33931,ro,predeal,45.5,25.566667000000002,266.401,71,44,0.95,20.121800000000018,2.125093,45.5
16258,id,curug,-6.2533330000000005,106.617222,300.301,99,8,3.15,81.14179999999999,7.046361,6.2533330000000005
29608,ph,puting kahoy,14.2157,121.031,297.65,100,92,2.55,76.36999999999996,5.704197,14.2157
42121,us,nogales,31.3402778,-110.93361110000001,279.36,49,0,7.35,43.44800000000002,16.441509,31.3402778
35015,rs,svrljig,43.413333,22.121111,263.25,62,0,0.9,14.45,2.013246,43.413333
29297,ph,orong,9.9373,122.829,299.751,97,0,0.95,80.15179999999995,2.125093,9.9373
19,af,baraki barak,33.9675,68.948611,263.05,55,0,0.6,14.090000000000021,1.3421640000000001,33.9675
28676,ph,lingig,8.038889,126.4125,300.401,100,8,2.95,81.32180000000002,6.598973000000001,8.038889
15724,hu,kondoros,46.766667,20.8,275.526,97,80,5.1,36.54680000000002,11.408394,46.766667
46214,uy,rivera,-30.9,-55.5166667,299.151,39,8,3.85,79.07180000000002,8.612219000000001,30.9
17026,in,bagaha,27.1,84.083333,286.38,74,0,3.1,56.08399999999999,6.934514000000001,27.1
37593,ru,pervomayskaya,43.403307,45.523435,272.88,93,92,2.05,31.783999999999992,4.585727,43.403307
17303,in,bilkha,21.433332999999998,70.6,289.101,93,0,3.3,60.9818,7.381902,21.433332999999998
36970,ru,mayma,52.019721999999994,85.911389,249.051,51,0,1.1,-11.108200000000025,2.460634,52.019721999999994
15307,ht,cap-haitien,19.757777800000003,-72.2041667,299.501,88,8,6.35,79.70179999999996,14.204569,19.757777800000003
23830,mx,guamuchil,25.366667,-108.36666699999999,297.63,56,8,2.55,76.334,5.704197,25.366667
9524,de,rheinau,48.866667,8.2,278.97,79,48,5.95,42.74600000000005,13.309793,48.866667
21697,jp,omuta,33.033333,130.45,279.701,100,80,6.0,44.06180000000004,13.42164,33.033333
13141,ge,zugdidi,42.501388899999995,41.861388899999994,274.19,99,88,0.65,34.141999999999996,1.4540110000000002,42.501388899999995
33301,ro,ileanda,47.333333,23.633333,271.85,85,36,1.2,29.930000000000042,2.6843280000000003,47.333333
